label	N	w	pcount	Lhalf	slope	bound	panel
11a1	11	1	43	0.0000001659629960	0.0001180886686125	343.512198	analysis/atlas/11a1/ap.tsv
37a1	37	1	44	0.0000000000021901	0.0000000016573900	343.512198	analysis/atlas/37a1/ap.tsv
