DATA_ROOT	C:\Users\Cody\Downloads\LS3D-W\LS3D-W
MANIFEST	analysis/geom/ls3dw_mat_manifest.tsv
INTENT_DIGEST	9808620fe056c18c72b428291a5c30cd92cc37035d00e1106aa822aadac9f224
