S_micro\tT_micro\tdiff\tmA\tmB\tnA\tnB
244000	-241381	3672	4046	374	21836	7
244000	-239381	3387	4046	659	21836	7
244000	-237381	3101	4046	945	21836	7
244000	-235381	2815	4046	1231	21836	7
244000	-233381	2529	4046	1517	21836	7
244000	-231381	2244	4046	1802	21836	7
244000	-229381	1958	4046	2088	21836	7
244000	-227381	1672	4046	2374	21836	7
244000	-225381	1387	4046	2659	21836	7
244000	-223381	1101	4046	2945	21836	7
244000	-221381	615	4046	3431	21836	7
244000	-219381	44	4046	4002	21836	7
244000	-217381	528	4046	4574	21836	7
244000	-215381	1099	4046	5145	21836	7
244000	-213381	1671	4046	5717	21836	7
244000	-211381	2242	4046	6288	21836	7
244000	-209381	2814	4046	6860	21836	7
244000	-207381	3385	4046	7431	21836	7
244000	-205381	3956	4046	8002	21836	7
244000	-203381	4647	4046	8693	21836	7
244000	-201381	5504	4046	9550	21836	7
244000	-199381	6362	4046	10408	21836	7
244000	-197381	7219	4046	11265	21836	7
244000	-195381	8076	4046	12122	21836	7
244000	-193381	8933	4046	12979	21836	7
244000	-191381	9790	4046	13836	21836	7
244000	-189381	10647	4046	14693	21836	7
244000	-187381	11636	4046	15682	21836	7
244000	-185381	12779	4046	16825	21836	7
244000	-183381	13922	4046	17968	21836	7
244000	-181381	15065	4046	19111	21836	7
244000	-179381	16208	4046	20254	21836	7
244000	-177381	17351	4046	21397	21836	7
244000	-175381	18493	4046	22539	21836	7
244000	-173381	19874	4046	23920	21836	7
244000	-171381	21302	4046	25348	21836	7
244000	-169381	22731	4046	26777	21836	7
244000	-167381	24159	4046	28205	21836	7
244000	-165381	25588	4046	29634	21836	7
244000	-163381	27167	4046	31213	21836	7
244000	-161381	28881	4046	32927	21836	7
244000	-159381	30596	4046	34642	21836	7
244000	-157381	32310	4046	36356	21836	7
244000	-155381	34181	4046	38227	21836	7
244000	-153381	36181	4046	40227	21836	7
244000	-151381	38181	4046	42227	21836	7
244000	-149381	40181	4046	44227	21836	7
244000	-147381	42181	4046	46227	21836	7
244000	-145381	44181	4046	48227	21836	7
244000	-143381	46181	4046	50227	21836	7
244000	-141381	48181	4046	52227	21836	7
244000	-139381	50181	4046	54227	21836	7
244000	-137381	52181	4046	56227	21836	7
244000	-135381	54181	4046	58227	21836	7
244000	-133381	56181	4046	60227	21836	7
244000	-131381	58181	4046	62227	21836	7
244000	-129381	60181	4046	64227	21836	7
244000	-127381	62181	4046	66227	21836	7
246000	-241381	3387	4046	659	21836	7
246000	-239381	3101	4046	945	21836	7
246000	-237381	2815	4046	1231	21836	7
246000	-235381	2529	4046	1517	21836	7
246000	-233381	2244	4046	1802	21836	7
246000	-231381	1958	4046	2088	21836	7
246000	-229381	1672	4046	2374	21836	7
246000	-227381	1387	4046	2659	21836	7
