role	label	rms_px	width_go_go_px	rms_over_go	convex_deg	harmony_v2	pct_rms_px	pct_rms_over_go	pct_convex	pct_harmony_v2
male	Cody_A	0.7	187	0.0037433155080214	179	81.8228	0	0	99.88366266530142	100
female	Mother_A	0.674	172.1	0.0039163277164439	177.2	84.622	0	0	99.69891723491862	100
