# curve  A1  A3  c1u1  c3u3  r1  r3  chi2_contrib
11a1 1.73e-05 0.0439 1.7020824145770329e-05 0.044626881720430105 2.791758542296718e-07 -0.00072688172043010313 0.26900067436090958
37a1 1.66e-05 0.0452 1.7020824145770329e-05 0.044626881720430105 -4.2082414577032827e-07 0.00057311827956989247 0.22419060473769209
