res,H_step,H_glued,M_step,M_glued,C_Gamma_step,C_Gamma_glued,IH_step,IH_glued,IM_step,IM_glued,ICG_step,ICG_glued,st_step,st_glued
801,nan,inf,nan,inf,nan,1.5445637648144344e+129,nan,inf,nan,inf,nan,2.3170773549571475e+125,0,0
1201,nan,nan,inf,nan,inf,nan,nan,nan,inf,nan,inf,nan,0,0
1601,750673.711814764,715203.0101927369,1730.0188767646057,2753.8757991005186,0.040753311455241005,0.05964534301488806,387804.9636065899,419620.34715812554,4907.9363101748795,7212.782383456487,2.3940273088389006,3.447004541461242,1,1
