res,H_step,H_glued,M_step,M_glued,C_Gamma_step,C_Gamma_glued,IH_step,IH_glued,IM_step,IM_glued,ICG_step,ICG_glued,st_step,st_glued
801,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1201,None,None,None,None,None,None,1.1058059199501887e+134,None,6.417674438080145e+92,None,1.2917571437109493e+24,None,0,0
1601,None,None,None,None,None,None,None,None,None,None,None,None,0,0
