res,H_step,H_glued,M_step,M_glued,C_Gamma_step,C_Gamma_glued,st_step,st_glued
801,82808578.76670024,82846258.50002073,6708.418343602908,6712.5436722080985,352.532324768851,354.12811242070745,1,1
1201,189053207.39686266,189226909.04999468,10189.276606315092,9979.324626446421,535.4600265192539,523.8992269511381,1,1
1601,333478620.99481833,333482963.5488271,15687.430433311889,15687.430433311889,832.1461410113011,832.2076663910278,1,1
