name	Dmax	r0	r1	r2	r3	r4	eps	z	chi2	k	maxQ	L1	BIC
ln_sin_theta12	9	0.25	0.125	0	0	0	0.00730072351615	0.730072351615	0.533005638592	2	8	0.375	4.55188146346
ln_sin_theta12	9	0.333333333333	0	0.142857142857	0	0	-0.0134516213872	-1.34516213872	1.80946117945	2	7	0.47619047619	5.72833700432
ln_sin_theta12	9	0.333333333333	0	0.125	0	0	0.00698998371722	0.698998371722	0.48859872367	2	8	0.458333333333	4.50747454854
ln_sin_theta12	9	0.25	0	-0.222222222222	0	0	-0.00555466633606	-0.555466633606	0.308543181049	2	9	0.472222222222	4.42741900592
ln_sin_theta12	9	0.333333333333	0	0.142857142857	0	0	-0.0134516213872	-1.34516213872	1.80946117945	2	7	0.47619047619	5.72833700432
ln_sin_theta12	9	0.333333333333	0	0.125	0	0	0.00698998371722	0.698998371722	0.48859872367	2	8	0.458333333333	4.50747454854
ln_sin_theta12	9	0.25	0	-0.222222222222	0	0	-0.00555466633606	-0.555466633606	0.308543181049	2	9	0.472222222222	4.42741900592
ln_sin_theta12	9	0.333333333333	0	0	0.2	0	0.0114517833364	1.14517833364	1.31143341584	2	5	0.533333333333	5.03030924071
ln_sin_theta12	9	0.333333333333	0	0	0.222222222222	0	-0.0039514873427	-0.39514873427	0.156142522195	2	9	0.555555555556	4.27501834706
ln_sin_theta12	9	0.333333333333	0	0	0.2	0	0.0114517833364	1.14517833364	1.31143341584	2	6	0.533333333333	5.13030924071
ln_sin_theta12	9	0.333333333333	0	0	0.222222222222	0	-0.0039514873427	-0.39514873427	0.156142522195	2	9	0.555555555556	4.27501834706
ln_sin_theta12	9	0.285714285714	0	0	-0.125	0	0.00242729995433	0.242729995433	0.0589178506831	2	8	0.410714285714	4.07779367555
ln_sin_theta12	9	0.285714285714	0	0	-0.111111111111	0	-0.00719974422011	-0.719974422011	0.51836316835	2	9	0.396825396825	4.63723899322
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	6	0.2	3.92175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	7	0.2	4.02175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	8	0.2	4.12175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	9	0.2	4.22175269696
ln_sin_theta12	9	0.111111111111	0	0	0	-0.125	-0.0038777947856	-0.38777947856	0.150372923992	2	9	0.236111111111	4.26924874886
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0.2	0	0	-0.142857142857	0.0112162261715	1.12162261715	1.2580372953	2	7	0.342857142857	5.17691312017
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	6	0.2	3.92175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	7	0.2	4.02175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	8	0.2	4.12175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	9	0.2	4.22175269696
ln_sin_theta12	9	0	0.111111111111	0	0	-0.166666666667	0.000117784024229	0.0117784024229	0.000138730763637	2	9	0.277777777778	4.11901455563
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0.333333333333	0	-0.25	0.00728030218008	0.728030218008	0.530027998332	2	4	0.583333333333	4.1489038232
ln_sin_theta12	9	0	0	0.333333333333	0	-0.25	0.00728030218008	0.728030218008	0.530027998332	2	8	0.583333333333	4.5489038232
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	-0.2	0	-0.166666666667	-0.00848273563242	-0.848273563242	0.719568038096	2	6	0.366666666667	4.53844386296
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	9	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	6	0.2	3.92175269696
ln_sin_theta12	9	0	0	0.166666666667	0	-0.222222222222	-0.0106932647113	-1.06932647113	1.14345910186	2	9	0.388888888889	5.26233492673
ln_sin_theta12	9	0	0	0.333333333333	0	-0.25	0.00728030218008	0.728030218008	0.530027998332	2	6	0.583333333333	4.3489038232
