ReTau	ImTau	z	N	ReC	ImC
0.12	3.4	0.25	120	-3.69594921177651e-19	-0.008726646259971648
0.12	3.4	0.25	240	-3.69594921177651e-19	-0.008726646259971648
0.12	3.4	0.25	360	-3.69594921177651e-19	-0.008726646259971648
0.19	2.7	0.21	360	6.566338463974006e-16	-0.00872664625997095
0.19	2.7	0.31	360	-9.728596040702338e-16	-0.008726646259972683
