releaseA	releaseB	D	zA	zB	|Δz|	REP_A(r)	REP_B(r)	|Δeps|	ΔBIC
2014	2018	12	1.69037e+07	2.13133e+07	4.40965e+06	[0.428571428571,0,0,0,-0.375]	[0.428571428571,0,0,0,-0.375]	6.0296e-10	168523000000000
2018	2022	12	2.13133e+07	4.90206e+07	2.77073e+07	[0.428571428571,0,0,0,-0.375]	[0.428571428571,0,0,0,-0.375]	1.00036e-09	1948763000000000
