z	y.re	y.im	a1.re	a1.im	|a1|
0.0625	0.923879532511	0.382683432365	0.000352943997255	0.000902460544666	0.000969022445497
0.1875	0.382683432365	0.923879532511	0.000147439329698	0.000374285174934	0.000402278197417
0.3125	-0.382683432365	0.923879532511	-0.00014681616789	-0.00037224423719	0.000400150920623
0.4375	-0.923879532511	0.382683432365	-0.000354490963957	-0.000904142387511	0.000971152562896
0.5625	-0.923879532511	-0.382683432365	-0.000353893454484	-0.000903909469322	0.000970717727178
0.6875	-0.382683432365	-0.923879532511	-0.000146387442273	-0.000372796321446	0.000400507653533
0.8125	0.382683432365	-0.923879532511	0.00014794559169	0.00037304410757	0.000401310109882
0.9375	0.923879532511	-0.382683432365	0.000357299719366	0.000904158470724	0.000972196291724
