z	y.re	y.im	a0.re	a0.im	chi_y.re	chi_y.im	rel	Note
0.22	0.187381314586	0.982287250729	3.58967580331e-15	5.23598775598	100.812618685	0.982287250729	1.00084226772	
0.25	6.12323399574e-17	1	2.08791046487e-16	5.23598775598	101	1	1.00083006092	
0.28	-0.187381314586	0.982287250729	-4.42346942189e-15	5.23598775598	101.187381315	0.982287250729	1.00083604353	
