z	y.re	y.im	a0.re	a0.im	chi_y.re	chi_y.im	rel_q0	a1.re	a1.im	|q1|	|q2|
0.21	0.248689887165	0.968583161129	101	0.999999999998	100.751310113	0.968583161129	0.00248786	9.52854563199e-05	0.000243196784725	5.27522264223e-10	4.28911498548e-08
0.23	0.125333233564	0.992114701314	101	0.999999999999	100.874666766	0.992114701314	0.00124486	4.83125619084e-05	0.000122398909609	5.27522264223e-10	4.28911498548e-08
0.25	6.12323399574e-17	1	101	0.999999999999	101	1	1.95514e-12	-5.13046718414e-09	-3.61603911108e-07	5.27522264223e-10	4.28911498548e-08
0.27	-0.125333233564	0.992114701314	101	0.999999999999	101.125333234	0.992114701314	0.00124178	-4.64379619009e-05	-0.000126343014014	5.27522264223e-10	4.28911498548e-08
0.29	-0.248689887165	0.968583161129	101	0.999999999999	101.248689887	0.968583161129	0.00247564	-9.51510687016e-05	-0.00024278479443	5.27522264223e-10	4.28911498548e-08
0.31	-0.368124552685	0.929776485888	101	0.999999999999	101.368124553	0.929776485888	0.00369689	-0.000141285932819	-0.000361098368854	5.27522264223e-10	4.28911498548e-08
