t\tS_micro\tT_micro\tdiff\tfound
0	294000	-176000		0
1	294204	-176108		0
2	294409	-176217		0
3	294614	-176326		0
4	294818	-176435		0
5	295023	-176544		0
6	295228	-176653		0
7	295432	-176762		0
8	295637	-176870		0
9	295842	-176979		0
10	296047	-177088		0
11	296251	-177197		0
12	296456	-177306		0
13	296661	-177415		0
14	296865	-177524		0
15	297070	-177633		0
16	297275	-177741		0
17	297480	-177850		0
18	297684	-177959		0
19	297889	-178068		0
20	298094	-178177		0
21	298298	-178286		0
22	298503	-178395		0
23	298708	-178504		0
24	298913	-178612		0
25	299117	-178721		0
26	299322	-178830		0
27	299527	-178939		0
28	299731	-179048		0
29	299936	-179157		0
30	300141	-179266		0
31	300346	-179374		0
32	300550	-179483		0
33	300755	-179592		0
34	300960	-179701		0
35	301164	-179810		0
36	301369	-179919		0
37	301574	-180028		0
38	301778	-180137		0
39	301983	-180245		0
40	302188	-180354		0
41	302393	-180463		0
42	302597	-180572		0
43	302802	-180681		0
44	303007	-180790		0
45	303211	-180899		0
46	303416	-181008		0
47	303621	-181116		0
48	303826	-181225		0
49	304030	-181334		0
50	304235	-181443		0
51	304440	-181552		0
52	304644	-181661		0
53	304849	-181770		0
54	305054	-181878		0
55	305259	-181987		0
56	305463	-182096		0
57	305668	-182205		0
58	305873	-182314		0
59	306077	-182423		0
60	306282	-182532		0
61	306487	-182641		0
62	306692	-182749		0
63	306896	-182858		0
64	307101	-182967		0
65	307306	-183076		0
66	307510	-183185		0
67	307715	-183294		0
68	307920	-183403		0
69	308124	-183512		0
70	308329	-183620		0
71	308534	-183729		0
72	308739	-183838		0
73	308943	-183947		0
74	309148	-184056		0
75	309353	-184165		0
76	309557	-184274		0
77	309762	-184382		0
78	309967	-184491		0
79	310172	-184600		0
80	310376	-184709		0
81	310581	-184818		0
82	310786	-184927		0
83	310990	-185036		0
84	311195	-185145		0
85	311400	-185253		0
86	311605	-185362		0
87	311809	-185471		0
88	312014	-185580		0
89	312219	-185689		0
90	312423	-185798		0
91	312628	-185907		0
92	312833	-186016		0
93	313038	-186124		0
94	313242	-186233		0
95	313447	-186342		0
96	313652	-186451		0
97	313856	-186560		0
98	314061	-186669		0
99	314266	-186778		0
100	314471	-186887		0
