S_micro	T_micro	diff	mA	mB	nA	nB
224000	-129381	84103	224000	-129381	1	1
224000	-128381	84661	224000	-128381	1	1
224000	-127381	85227	224000	-127381	1	1
224000	-126381	85802	224000	-126381	1	1
224000	-125381	86384	224000	-125381	1	1
224000	-124381	86974	224000	-124381	1	1
224000	-123381	87571	224000	-123381	1	1
224000	-122381	88175	224000	-122381	1	1
224000	-121381	88787	224000	-121381	1	1
224000	-120381	89406	224000	-120381	1	1
224000	-119381	90031	224000	-119381	1	1
224000	-118381	90663	224000	-118381	1	1
224000	-117381	91302	224000	-117381	1	1
224000	-116381	91947	224000	-116381	1	1
224000	-115381	92599	224000	-115381	1	1
224000	-114381	93257	224000	-114381	1	1
224000	-113381	93920	224000	-113381	1	1
224000	-112381	94590	224000	-112381	1	1
224000	-111381	95266	224000	-111381	1	1
224000	-110381	95947	224000	-110381	1	1
224000	-109381	96633	224000	-109381	1	1
224000	-108381	97325	224000	-108381	1	1
224000	-107381	98023	224000	-107381	1	1
224000	-106381	98725	224000	-106381	1	1
225000	-261381	109776	225000	-261381	1	1
225000	-260381	109000	225000	-260381	1	1
225000	-259381	108228	225000	-259381	1	1
225000	-258381	107459	225000	-258381	1	1
225000	-257381	106695	225000	-257381	1	1
225000	-256381	105934	225000	-256381	1	1
225000	-255381	105177	225000	-255381	1	1
225000	-254381	104425	225000	-254381	1	1
225000	-253381	103676	225000	-253381	1	1
225000	-252381	102932	225000	-252381	1	1
225000	-251381	102192	225000	-251381	1	1
225000	-250381	101457	225000	-250381	1	1
225000	-249381	100726	225000	-249381	1	1
225000	-248381	100000	225000	-248381	1	1
225000	-247381	99278	225000	-247381	1	1
225000	-246381	98562	225000	-246381	1	1
225000	-245381	97850	225000	-245381	1	1
225000	-244381	97144	225000	-244381	1	1
225000	-243381	96442	225000	-243381	1	1
225000	-242381	95746	225000	-242381	1	1
225000	-241381	95056	225000	-241381	1	1
225000	-240381	94371	225000	-240381	1	1
225000	-239381	93691	225000	-239381	1	1
225000	-238381	93018	225000	-238381	1	1
225000	-237381	92350	225000	-237381	1	1
225000	-236381	91688	225000	-236381	1	1
225000	-235381	91033	225000	-235381	1	1
225000	-234381	90384	225000	-234381	1	1
225000	-233381	89741	225000	-233381	1	1
225000	-232381	89105	225000	-232381	1	1
225000	-231381	88476	225000	-231381	1	1
225000	-230381	87853	225000	-230381	1	1
225000	-229381	87238	225000	-229381	1	1
225000	-228381	86630	225000	-228381	1	1
225000	-227381	86029	225000	-227381	1	1
225000	-226381	85435	225000	-226381	1	1
225000	-225381	84849	225000	-225381	1	1
225000	-224381	84271	225000	-224381	1	1
225000	-223381	83701	225000	-223381	1	1
225000	-222381	83139	225000	-222381	1	1
225000	-221381	82585	225000	-221381	1	1
225000	-220381	82040	225000	-220381	1	1
225000	-219381	81504	225000	-219381	1	1
225000	-218381	80976	225000	-218381	1	1
225000	-217381	80457	225000	-217381	1	1
225000	-216381	79947	225000	-216381	1	1
225000	-215381	79447	225000	-215381	1	1
225000	-214381	78956	225000	-214381	1	1
225000	-213381	78475	225000	-213381	1	1
225000	-212381	78003	225000	-212381	1	1
225000	-211381	77542	225000	-211381	1	1
225000	-210381	77091	225000	-210381	1	1
225000	-209381	76650	225000	-209381	1	1
225000	-208381	76220	225000	-208381	1	1
225000	-207381	75800	225000	-207381	1	1
225000	-206381	75392	225000	-206381	1	1
225000	-205381	74994	225000	-205381	1	1
225000	-204381	74608	225000	-204381	1	1
225000	-203381	74234	225000	-203381	1	1
225000	-202381	73871	225000	-202381	1	1
225000	-201381	73520	225000	-201381	1	1
225000	-200381	73180	225000	-200381	1	1
225000	-199381	72853	225000	-199381	1	1
225000	-198381	72539	225000	-198381	1	1
225000	-197381	72236	225000	-197381	1	1
225000	-196381	71947	225000	-196381	1	1
225000	-195381	71670	225000	-195381	1	1
225000	-194381	71406	225000	-194381	1	1
225000	-193381	71155	225000	-193381	1	1
225000	-192381	70917	225000	-192381	1	1
225000	-191381	70693	225000	-191381	1	1
225000	-190381	70482	225000	-190381	1	1
225000	-189381	70285	225000	-189381	1	1
225000	-188381	70101	225000	-188381	1	1
225000	-187381	69932	225000	-187381	1	1
225000	-186381	69776	225000	-186381	1	1
225000	-185381	69634	225000	-185381	1	1
225000	-184381	69507	225000	-184381	1	1
