244000,-127264	69822
244000,-129264	68441
244000,-131264	67091
244000,-133264	65775
244000,-135264	64493
244000,-137264	63249
244000,-139264	62044
244000,-141264	60881
244000,-143264	59763
244000,-145264	58691
244000,-147264	57669
244000,-149264	56699
244000,-151264	55784
244000,-153264	54926
244000,-155264	54129
244000,-157264	53395
244000,-159264	52726
244000,-161264	52126
244000,-163264	51596
244000,-165264	51139
244000,-167264	50757
244000,-169264	50451
244000,-171264	50223
244000,-173264	50074
244000,-175264	50005
244000,-177264	50015
244000,-179264	50106
244000,-181264	50276
244000,-183264	50524
244000,-185264	50850
244000,-187264	51253
244000,-189264	51729
244000,-191264	52278
244000,-193264	52896
244000,-195264	53582
244000,-197264	54333
244000,-199264	55147
244000,-201264	56020
244000,-203264	56950
244000,-205264	57934
244000,-207264	58969
244000,-209264	60054
244000,-211264	61184
244000,-213264	62358
244000,-215264	63574
244000,-217264	64828
244000,-219264	66119
244000,-221264	67445
244000,-223264	68803
244000,-225264	70192
244000,-227264	71610
244000,-229264	73055
244000,-231264	74525
244000,-233264	76020
244000,-235264	77538
244000,-237264	79077
244000,-239264	80637
244000,-241264	82215
246000,-127264	68404
246000,-129264	66994
246000,-131264	65614
246000,-133264	64267
246000,-135264	62955
246000,-137264	61680
246000,-139264	60444
246000,-141264	59250
246000,-143264	58100
246000,-145264	56997
246000,-147264	55944
246000,-149264	54943
246000,-151264	53998
246000,-153264	53112
246000,-155264	52287
246000,-157264	51527
246000,-159264	50833
246000,-161264	50211
246000,-163264	49660
246000,-165264	49185
246000,-167264	48788
246000,-169264	48470
246000,-171264	48233
246000,-173264	48077
246000,-175264	48005
246000,-177264	48016
246000,-179264	48110
246000,-181264	48287
246000,-183264	48546
246000,-185264	48885
246000,-187264	49303
246000,-189264	49798
246000,-191264	50368
246000,-193264	51010
246000,-195264	51721
246000,-197264	52499
246000,-199264	53340
246000,-201264	54242
246000,-203264	55202
246000,-205264	56217
246000,-207264	57283
246000,-209264	58399
246000,-211264	59561
246000,-213264	60766
246000,-215264	62013
246000,-217264	63298
246000,-219264	64620
246000,-221264	65975
246000,-223264	67363
246000,-225264	68781
246000,-227264	70228
246000,-229264	71701
246000,-231264	73199
246000,-233264	74720
246000,-235264	76264
246000,-237264	77828
246000,-239264	79412
246000,-241264	81014
248000,-127264	67016
248000,-129264	65576
248000,-131264	64166
248000,-133264	62788
248000,-135264	61444
248000,-137264	60137
248000,-139264	58868
248000,-141264	57641
248000,-143264	56459
248000,-145264	55323
248000,-147264	54237
248000,-149264	53205
248000,-151264	52229
248000,-153264	51312
248000,-155264	50457
248000,-157264	49669
248000,-159264	48949
248000,-161264	48302
248000,-163264	47730
248000,-165264	47236
248000,-167264	46822
248000,-169264	46490
248000,-171264	46243
248000,-173264	46081
248000,-175264	46005
248000,-177264	46017
248000,-179264	46115
248000,-181264	46300
248000,-183264	46570
248000,-185264	46923
248000,-187264	47359
248000,-189264	47874
248000,-191264	48466
248000,-193264	49132
248000,-195264	49870
248000,-197264	50676
248000,-199264	51548
248000,-201264	52481
248000,-203264	53472
248000,-205264	54519
248000,-207264	55618
248000,-209264	56767
248000,-211264	57961
248000,-213264	59199
248000,-215264	60478
248000,-217264	61795
248000,-219264	63148
248000,-221264	64535
248000,-223264	65953
248000,-225264	67401
248000,-227264	68876
248000,-229264	70377
248000,-231264	71903
248000,-233264	73451
248000,-235264	75021
248000,-237264	76611
248000,-239264	78219
248000,-241264	79846
250000,-127264	65659
250000,-129264	64189
250000,-131264	62747
250000,-133264	61338
250000,-135264	59961
250000,-137264	58621
250000,-139264	57319
250000,-141264	56058
250000,-143264	54842
250000,-145264	53672
250000,-147264	52552
250000,-149264	51486
250000,-151264	50476
250000,-153264	49527
250000,-155264	48641
250000,-157264	47822
250000,-159264	47075
250000,-161264	46402
250000,-163264	45806
250000,-165264	45290
250000,-167264	44858
250000,-169264	44512
250000,-171264	44254
250000,-173264	44084
250000,-175264	44006
250000,-177264	44018
250000,-179264	44120
250000,-181264	44313
250000,-183264	44595
250000,-185264	44964
250000,-187264	45418
250000,-189264	45955
250000,-191264	46572
250000,-193264	47265
250000,-195264	48032
250000,-197264	48868
250000,-199264	49771
250000,-201264	50737
250000,-203264	51762
250000,-205264	52842
250000,-207264	53976
250000,-209264	55158
250000,-211264	56387
250000,-213264	57659
250000,-215264	58971
250000,-217264	60321
250000,-219264	61707
250000,-221264	63125
250000,-223264	64574
250000,-225264	66052
250000,-227264	67557
250000,-229264	69087
250000,-231264	70640
250000,-233264	72216
250000,-235264	73812
250000,-237264	75427
250000,-239264	77060
250000,-241264	78710
252000,-127264	64336
252000,-129264	62835
252000,-131264	61362
252000,-133264	59919
252000,-135264	58510
252000,-137264	57135
252000,-139264	55799
252000,-141264	54503
252000,-143264	53250
252000,-145264	52045
252000,-147264	50889
252000,-149264	49787
252000,-151264	48742
252000,-153264	47759
252000,-155264	46839
252000,-157264	45989
252000,-159264	45211
252000,-161264	44510
252000,-163264	43888
252000,-165264	43350
252000,-167264	42898
252000,-169264	42536
252000,-171264	42266
252000,-173264	42089
252000,-175264	42006
252000,-177264	42019
252000,-179264	42126
252000,-181264	42328
