S_micro\tT_micro\tdiff\tbasin
S_micro	T_micro	diff	0
267000	-207000	41109	0
267000	-206000	40360	0
267000	-205000	39623	0
267000	-204000	38897	0
267000	-203000	38183	0
267000	-202000	37483	0
267000	-201000	36796	0
267000	-200000	36124	0
267000	-199000	35468	0
267000	-198000	34828	0
267000	-197000	34205	0
267000	-196000	33600	0
267000	-195000	33015	0
267000	-194000	32449	0
267000	-193000	31906	0
267000	-192000	31384	0
267000	-191000	30886	0
267000	-190000	30413	0
267000	-189000	29966	0
267000	-188000	29546	0
267000	-187000	29154	0
267000	-186000	28792	0
267000	-185000	28460	0
267000	-184000	28160	0
267000	-183000	27892	0
267000	-182000	27658	0
267000	-181000	27459	0
267000	-180000	27294	0
267000	-179000	27166	0
267000	-178000	27073	0
267000	-177000	27018	0
267000	-176000	27000	0
267000	-175000	27018	0
267000	-174000	27073	0
267000	-173000	27166	0
267000	-172000	27294	0
267000	-171000	27459	0
267000	-170000	27658	0
267000	-169000	27892	0
267000	-168000	28160	0
267000	-167000	28460	0
267000	-166000	28792	0
267000	-165000	29154	0
267000	-164000	29546	0
267000	-163000	29966	0
267000	-162000	30413	0
267000	-161000	30886	0
267000	-160000	31384	0
267000	-159000	31906	0
267000	-158000	32449	0
267000	-157000	33015	0
267000	-156000	33600	0
267000	-155000	34205	0
267000	-154000	34828	0
267000	-153000	35468	0
267000	-152000	36124	0
267000	-151000	36796	0
267000	-150000	37483	0
267000	-149000	38183	0
267000	-148000	38897	0
267000	-147000	39623	0
267000	-146000	40360	0
268000	-218000	49396	0
268000	-217000	48548	0
268000	-216000	47707	0
268000	-215000	46872	0
268000	-214000	46043	0
268000	-213000	45221	0
268000	-212000	44407	0
268000	-211000	43600	0
268000	-210000	42801	0
268000	-209000	42011	0
268000	-208000	41231	0
268000	-207000	40459	0
268000	-206000	39698	0
268000	-205000	38948	0
268000	-204000	38209	0
268000	-203000	37483	0
268000	-202000	36769	0
268000	-201000	36069	0
268000	-200000	35383	0
268000	-199000	34713	0
268000	-198000	34058	0
268000	-197000	33421	0
268000	-196000	32802	0
268000	-195000	32202	0
268000	-194000	31622	0
268000	-193000	31064	0
268000	-192000	30528	0
268000	-191000	30016	0
268000	-190000	29529	0
268000	-189000	29068	0
268000	-188000	28635	0
268000	-187000	28231	0
268000	-186000	27856	0
268000	-185000	27513	0
268000	-184000	27202	0
268000	-183000	26925	0
268000	-182000	26683	0
268000	-181000	26476	0
268000	-180000	26305	0
268000	-179000	26172	0
268000	-178000	26076	0
268000	-177000	26019	0
268000	-176000	26000	0
268000	-175000	26019	0
268000	-174000	26076	0
268000	-173000	26172	0
268000	-172000	26305	0
268000	-171000	26476	0
268000	-170000	26683	0
268000	-169000	26925	0
268000	-168000	27202	0
268000	-167000	27513	0
268000	-166000	27856	0
268000	-165000	28231	0
268000	-164000	28635	0
268000	-163000	29068	0
268000	-162000	29529	0
268000	-161000	30016	0
268000	-160000	30528	0
268000	-159000	31064	0
268000	-158000	31622	0
268000	-157000	32202	0
268000	-156000	32802	0
268000	-155000	33421	0
268000	-154000	34058	0
268000	-153000	34713	0
268000	-152000	35383	0
268000	-151000	36069	0
268000	-150000	36769	0
268000	-149000	37483	0
268000	-148000	38209	0
268000	-147000	38948	0
268000	-146000	39698	0
269000	-218000	48877	0
269000	-217000	48020	0
269000	-216000	47169	0
269000	-215000	46324	0
269000	-214000	45486	0
269000	-213000	44654	0
269000	-212000	43829	0
269000	-211000	43011	0
269000	-210000	42201	0
269000	-209000	41400	0
269000	-208000	40607	0
269000	-207000	39824	0
269000	-206000	39051	0
269000	-205000	38288	0
269000	-204000	37536	0
269000	-203000	36796	0
