u	a	a1	a2	aD	aD1	aD2	p2	p1	p0	seed
1.00091	-2.175261037192783	-400.1886944344243	156946.3380632626	-0	-0.4597149412883889	-2.842170943040401e-14	-0.001813652046004099	0	-0.25	swpf0
1.01246	-1.497377304268905	-13.91967581915824	219.6636131282286	-0.005686593778692322	-0.7206971408195193	0.8342170889453637	-0.02507760998461468	0	-0.25	swpf0
1.06066	-1.282362795163685	-1.657365996310165	-1.148477159012178	-0.03744648390425851	-0.8282075346460194	-0.03353686773474207	-0.125	0	-0.25	swpf0
1.17776	-1.202351516909167	-0.2508495640293247	-1.578100617642972	-0.1266129598339183	-0.8581191034940461	-0.1661810105493517	-0.3871115266030996	0	-0.25	swpf0
1.54939	-1.205432525295752	0.1149958631204596	-0.524273066500975	-0.4360298612982988	-0.7879813675349938	-0.1896404051423512	-1.400620397069292	0	-0.25	swpf0
3	-1.437277302531742	0.1641942482710235	-0.1146664462689683	-1.741951308607307	-0.4967598201828065	-0.1389734366358767	-8	0	-0.25	swpf0
