N,k,a_list,s_num,s_den,max_num,max_den,OK
3,2,"1 2",1,3,1,3,YES
4,3,"1 2 3",1,4,1,4,YES
5,4,"1 2 3 4",1,5,1,5,YES
6,5,"1 2 3 4 5",1,6,1,6,YES
7,6,"1 2 3 4 5 6",1,7,1,7,YES
8,7,"1 2 3 4 5 6 7",1,8,1,8,YES
9,8,"1 2 3 4 5 6 7 8",1,9,1,9,YES
10,9,"1 2 3 4 5 6 7 8 9",1,10,1,10,YES
11,10,"1 2 3 4 5 6 7 8 9 10",1,11,1,11,YES
12,11,"1 2 3 4 5 6 7 8 9 10 11",1,12,1,12,YES
13,12,"1 2 3 4 5 6 7 8 9 10 11 12",1,13,1,13,YES
