u	a	a1	a2	aD	aD1	aD2	p2	p1	p0	seed
1.00091	0.01732306681502156 9.621208525993833 -5208.628114934267 0 57.7264990476662 -1.455191522836685e-11 -0.001813652046004099 0 -0.25 swpf0
1.01246	0.06634860062413242 2.819532826285033 -96.85005157696384 1.364434387691988 73.05455578284939 -1991.685424836042 -0.02507760998461468 0 -0.25 swpf0
1.06066	0.1595877308761171 1.545290487314752 -8.284856925164872 4.306536794102475 47.96640881584901 -223.5700763850933 -0.125 0 -0.25 swpf0
1.17776	0.3099238182045565 1.130975596036794 -1.660708203818781 9.264803992591768 37.03576990042642 -49.64489688596622 -0.3871115266030996 0 -0.25 swpf0
1.54939	0.6674398621546179 0.8614366625819722 -0.3458290096483011 21.52191707300339 29.27569886619606 -11.15142155738582 -1.400620397069292 0 -0.25 swpf0
3	1.749521630515362 0.6909100920251251 -0.03711873676929466 59.67722233800415 24.13893857654907 -1.266142166207185 -8 0 -0.25 swpf0
