2025-09-12T15:05:53-04:00	ed9b21c HEAD@{2025-09-12T15:05:53-04:00}: commit: wire pav.awk + tau_fuse; enforce receipt spec; stage receipt deltas
2025-09-12T15:00:50-04:00	adbc223 HEAD@{2025-09-12T15:00:50-04:00}: commit: scripts: fuse signals without /dev/fd; awk+sort to align by time
2025-09-12T15:00:43-04:00	8de3a1e HEAD@{2025-09-12T15:00:43-04:00}: commit: scripts: make pav.awk fd-safe and actually compute diagnostics
2025-09-12T14:58:03-04:00	befe9cd HEAD@{2025-09-12T14:58:03-04:00}: commit: scripts: add tau_adapter.sh to orchestrate sweep→fuse→receipt
2025-09-12T14:57:51-04:00	3ed5838 HEAD@{2025-09-12T14:57:51-04:00}: commit: scripts: add spec_guard.sh to enforce tau_class/provenance/operator tokens
2025-09-12T14:57:39-04:00	831d309 HEAD@{2025-09-12T14:57:39-04:00}: commit: scripts: add ensemble τ fuse via PAV over multi-signal series
2025-09-12T14:57:24-04:00	ae75872 HEAD@{2025-09-12T14:57:24-04:00}: commit: scripts: add K/ω sweep with stability score and calibration receipt
2025-09-12T14:56:59-04:00	6c2a891 HEAD@{2025-09-12T14:56:59-04:00}: commit: scripts: add pav.awk isotonic fuse for ensemble τ
2025-09-12T14:56:45-04:00	51a0b01 HEAD@{2025-09-12T14:56:45-04:00}: commit: docs: publish τ-axioms (admissible class) as prose
2025-09-12T14:52:30-04:00	9819806 HEAD@{2025-09-12T14:52:30-04:00}: commit: ci: add receipt_guard workflow to call scripts/tau_verify.sh
2025-09-11T21:01:40-04:00	523bb20 HEAD@{2025-09-11T21:01:40-04:00}: commit: ci: add red-PR maintenance scripts (B6 by commit/check, B7 ping, B8 rollup)
2025-09-11T18:08:49-04:00	1b23957 HEAD@{2025-09-11T18:08:49-04:00}: commit: ci: trigger action selftest
2025-09-11T17:43:31-04:00	a6bc625 HEAD@{2025-09-11T17:43:31-04:00}: commit: action: composite wrapper + self-test + docs snippet
2025-09-11T17:31:28-04:00	f684ded HEAD@{2025-09-11T17:31:28-04:00}: commit: action: composite wrapper + self-test + docs snippet
2025-09-11T17:29:16-04:00	3035054 HEAD@{2025-09-11T17:29:16-04:00}: commit: action: composite wrapper + self-test + docs snippet
2025-09-11T17:13:27-04:00	d58c075 HEAD@{2025-09-11T17:13:27-04:00}: commit: action: add τ-Crystal composite action + self-test
2025-09-11T15:41:24-04:00	413d82c HEAD@{2025-09-11T15:41:24-04:00}: commit: ci(actionlint): use 'latest DIR' syntax across workflows
2025-09-11T15:41:11-04:00	effda84 HEAD@{2025-09-11T15:41:11-04:00}: commit: chore: ignore/remove ci_fast.yml backups
2025-09-11T15:37:39-04:00	c2c954d HEAD@{2025-09-11T15:37:39-04:00}: commit: ci(actionlint): replace '-b ./bin' with 'latest ./bin'
2025-09-11T15:33:29-04:00	957aef3 HEAD@{2025-09-11T15:33:29-04:00}: commit: ci(ci-fast): restore from backup
2025-09-11T15:31:08-04:00	bd56e59 HEAD@{2025-09-11T15:31:08-04:00}: commit: ci(fast-path): mixed proof -> fallback
2025-09-11T15:31:04-04:00	cb3b3a8 HEAD@{2025-09-11T15:31:04-04:00}: commit: ci(fast-path): engine-only proof
2025-09-11T15:30:47-04:00	d24a54a HEAD@{2025-09-11T15:30:47-04:00}: commit: ci(ci-fast): treat mixed changes as fallback; root-only stays root fast-path
2025-09-11T15:21:47-04:00	9d71bc7 HEAD@{2025-09-11T15:21:47-04:00}: commit: ci(fast-path): mixed probe (root+engine)
2025-09-11T15:21:42-04:00	0fa23a4 HEAD@{2025-09-11T15:21:42-04:00}: commit: ci(fast-path): engine-only probe
2025-09-11T15:19:43-04:00	c7991e7 HEAD@{2025-09-11T15:19:43-04:00}: commit: ci(fast-path): mixed probe (root + engine)
2025-09-11T15:19:38-04:00	a37882d HEAD@{2025-09-11T15:19:38-04:00}: commit: ci(fast-path): engine-only probe
2025-09-11T15:17:08-04:00	1277a4f HEAD@{2025-09-11T15:17:08-04:00}: commit: ci: paths-ignore + summary + cache-key notices
2025-09-11T15:11:05-04:00	cd6bce9 HEAD@{2025-09-11T15:11:05-04:00}: commit: ci: add cache restore/save to ci_fast, ci_prewarm, ci_bench
2025-09-11T15:07:26-04:00	852d26b HEAD@{2025-09-11T15:07:26-04:00}: commit: ci: add clean ci_prewarm workflow
2025-09-11T15:07:13-04:00	9bbdda3 HEAD@{2025-09-11T15:07:13-04:00}: commit: ci: add clean ci_fast workflow with auto module/root fast-path
2025-09-11T15:04:40-04:00	1680920 HEAD@{2025-09-11T15:04:40-04:00}: commit: ci: add minimal ci_bench workflow
2025-09-11T15:04:28-04:00	abde96e HEAD@{2025-09-11T15:04:28-04:00}: commit: ci: add setup_lean helper
2025-09-11T15:01:12-04:00	4a0ecc4 HEAD@{2025-09-11T15:01:12-04:00}: commit: ci: fix YAML (remove stray 0++ concurrency; clean fast/prewarm workflows)
2025-09-11T14:52:44-04:00	df2a7d6 HEAD@{2025-09-11T14:52:44-04:00}: commit: ci: tune TESTS_PER_SHARD=120 and MATRIX_MAX_SHARDS=6
2025-09-11T14:52:34-04:00	5b20555 HEAD@{2025-09-11T14:52:34-04:00}: commit: ci(fast-path): mixed change to force full path
2025-09-11T14:50:49-04:00	e867a6d HEAD@{2025-09-11T14:50:49-04:00}: commit: ci(fast-path): probe engine-only change to trigger module fast path
2025-09-11T14:49:28-04:00	cc0ba48 HEAD@{2025-09-11T14:49:28-04:00}: commit: tooling: add ci_fast_print helper
2025-09-11T14:49:14-04:00	3b0483d HEAD@{2025-09-11T14:49:14-04:00}: commit: ci(fast-path): add ci-fast to engine/
2025-09-11T14:26:06-04:00	fc5da3e HEAD@{2025-09-11T14:26:06-04:00}: commit: tooling: add portable make wrapper for Git Bash
2025-09-11T14:25:55-04:00	dd45118 HEAD@{2025-09-11T14:25:55-04:00}: commit: ci(fast-path): normalize LF, set SHELL, and prep ci-fast hygiene
2025-09-11T12:38:11-04:00	ccedb2d HEAD@{2025-09-11T12:38:11-04:00}: commit: ci: demo fast-path (root-only change)
2025-09-11T12:36:48-04:00	0bc006a HEAD@{2025-09-11T12:36:48-04:00}: commit: ci(fast-path): support repo-root Makefile:ci-fast and print module scan
2025-09-11T12:29:23-04:00	36602d6 HEAD@{2025-09-11T12:29:23-04:00}: commit: ci: add fast-path module run (Makefile:ci-fast), tunable .github/ci.env, keep dynamic sharding & summary
2025-09-11T12:22:45-04:00	f0707d7 HEAD@{2025-09-11T12:22:45-04:00}: commit: ci: add PR summary (changed stacks, test count, shard total) to visualize speedups per run
2025-09-11T12:22:15-04:00	d18a1ea HEAD@{2025-09-11T12:22:15-04:00}: commit: ci: add PR summary (changed stacks, test count, shard total) to visualize speedups per run
2025-09-11T12:21:49-04:00	508d071 HEAD@{2025-09-11T12:21:49-04:00}: commit: ci: add PR summary (changed stacks, test count, shard total) to visualize speedups per run
2025-09-11T12:19:27-04:00	537dc8d HEAD@{2025-09-11T12:19:27-04:00}: commit: ci(python/rust): install dev deps for testmon/xdist; upload nextest JUnit; preserve dynamic sharding & stack skipping
2025-09-11T12:15:48-04:00	d78b76c HEAD@{2025-09-11T12:15:48-04:00}: commit: ci(test-speed): add nextest CI profile; ensure pytest-xdist & pytest-testmon in dev requirements
2025-09-11T12:13:22-04:00	c05a6ed HEAD@{2025-09-11T12:13:22-04:00}: commit: ci: job-level skip when nothing changed; pytest-testmon; cargo-nextest; keep dynamic sharding & caches
2025-09-11T12:08:11-04:00	2523e74 HEAD@{2025-09-11T12:08:11-04:00}: commit: ci: dynamic sharding from test count + cache restore-keys; keep stack-skipping via paths-filter
